Price,Close,High,Low,Open,Volume
Ticker,USO,USO,USO,USO,USO
Date,,,,,
2024-09-25,71.4800033569336,72.80000305175781,70.94000244140625,72.3499984741211,3469200
2024-09-26,69.01000213623047,70.12000274658203,68.5999984741211,69.22000122070312,4593800
2024-09-27,70.2699966430664,70.31999969482422,68.80000305175781,69.30000305175781,3214700
2024-09-30,69.91999816894531,70.87000274658203,69.41999816894531,69.95999908447266,2338500
2024-10-01,72.11000061035156,73.7300033569336,69.29000091552734,69.33999633789062,13945000
2024-10-02,72.76000213623047,74.20999908447266,71.62000274658203,73.94999694824219,4093000
2024-10-03,75.7300033569336,75.9000015258789,73.44999694824219,73.73999786376953,7082200
2024-10-04,76.3499984741211,77.4000015258789,75.76000213623047,76.20999908447266,5843100
2024-10-07,79.19999694824219,79.30999755859375,77.29000091552734,77.41999816894531,4353500
2024-10-08,75.79000091552734,76.94000244140625,74.56999969482422,76.83000183105469,8048000
2024-10-09,75.25,75.36000061035156,73.41000366210938,74.11000061035156,6501500
2024-10-10,77.7699966430664,78.04000091552734,75.76000213623047,76.1500015258789,4533100
2024-10-11,77.48999786376953,77.87999725341797,76.69000244140625,77.01000213623047,3642400
2024-10-14,75.93000030517578,76.6500015258789,75.4800033569336,76.05999755859375,3943200
2024-10-15,72.76000213623047,72.94999694824219,71.66999816894531,72.2699966430664,4116700
2024-10-16,72.4000015258789,72.66999816894531,71.52999877929688,72.37999725341797,2195300
2024-10-17,72.62000274658203,72.83999633789062,71.30999755859375,72.05000305175781,2541700
2024-10-18,71.37999725341797,71.91999816894531,70.56999969482422,71.73999786376953,4342300
2024-10-21,72.26000213623047,72.87000274658203,71.70999908447266,72.4000015258789,2941400
2024-10-22,73.9800033569336,74.6500015258789,73.0,73.19000244140625,3782100
2024-10-23,73.55000305175781,74.02999877929688,72.91000366210938,73.48999786376953,2413400
2024-10-24,73.05999755859375,74.08000183105469,72.2699966430664,73.75,2218600
2024-10-25,74.2300033569336,74.48999786376953,73.36000061035156,73.80000305175781,3676100
2024-10-28,70.43000030517578,70.63999938964844,69.66999816894531,69.7699966430664,7429100
2024-10-29,69.66000366210938,70.30999755859375,69.13999938964844,70.12000274658203,4015900
2024-10-30,71.36000061035156,71.62999725341797,70.36000061035156,70.66999816894531,3934400
